Directory,Questions
211011,"[{'question': 'In 1D linear elliptic problem, we can clearly observe the effect of the neighboring nodes from the bandwidth of the stiffness matrix. In the 3D conductivity/diffusion problems, can this contribution of neighboring nodes also be reflected by the result and the form of the matrix in the matrix-vector representation?', 'coverage': 100}, {'question': 'Could you explain how the ratio of the volume dV_xi and its volume after mapping (dV) is related to det[J(xi)]?', 'coverage': 100}, {'question': 'In 7.10, when we invert the Jacobian tensor, shouldn’t there be a 1/determinant(J) term multiplied by the inverse Jacobian tensor?', 'coverage': 100}, {'question': 'Are there any other properties of the Jacobian matrix that can provide important information about the mapping between the 2 domains?', 'coverage': 100}, {'question': 'I am a bit confused that why we are only talking about the elements belonging to the Neumann boundary?', 'coverage': 100}, {'question': 'What is the physical meaning of det(J)?', 'coverage': 100}, {'question': 'Is this just stretching of the volume?', 'coverage': 100}, {'question': 'Can you explain why the implication in the last equation holds true?', 'coverage': 100}, {'question': 'Why does the slope of the linear basis function N4 change going from point 4 to point 2?', 'coverage': 100}, {'question': 'Is there a reason we did 3D before 2D?', 'coverage': 100}, {'question': 'Is the general formula for a Lagrange Polynomial in 3D different than the general formula in 1D?', 'coverage': 100}, {'question': 'In the 1D isoparametric mapping, converting to an integral in the parent domain was done by multiplying a constant. In 3D, is the idea the same except for that constant is det(J)?', 'coverage': 100}, {'question': 'If the physical domain has a hexahedral element that contains a discontinuity (i.e., sharp corner) between nodes, how do we represent that in the bi-unit domain?', 'coverage': 100}, {'question': ""How do elements in the connectivity matrix for hexahedral elements interact with each other? It's clear in 1D how they share nodes very straightforwardly. However, hexahedral elements have three types of interactions with each other (surface-surface, edge-edge, node-node). How would these three types of interactions be represented in the element connectivity matrix?"", 'coverage': 100}, {'question': 'How do we say from the matrix J that our mapping is? i.e., how do we say that we can take infinite derivatives?', 'coverage': 100}, {'question': 'Can we map the cube bi-unit domain to non-convex hexahedral elements, like these?', 'coverage': 100}, {'question': 'Do we consider this a special case of a hexahedral element (as it has 8 nodes and 6 faces), or is it easier to say that it can be seen as a tetrahedral element with a smaller tetrahedral element subtracted from it?', 'coverage': 100}]"
210915,"[{'question': 'Are there any correlations between the physical properties of the structure analyzed and the form of the stiffness matrix Ke, such as its rank or the fact that it seems to be a symmetric matrix?', 'coverage': 100}, {'question': '1. How can we be sure that during the mapping to the global degree of freedom (dof), \\( d(2,e) = d(1,e+1) \\), since they are mapping to the same global dof \\( d(e+1) \\)?', 'coverage': 100}, {'question': '2. Where do we define that the global finite dimension function must be continuous over the entire domain to satisfy the mapping of dofs?', 'coverage': 100}, {'question': '3. Is the requirement for continuity of the global finite dimension function coming from the 1st order Hilbert space?', 'coverage': 100}, {'question': '4. Why do we need to change from local degrees of freedom (dofs) to global dofs?', 'coverage': 100}, {'question': ""Now that we have the matrix-vector form, I'm assuming that we will simply solve the linear system of equations in order to find the approximate solution?"", 'coverage': 100}, {'question': 'How do we find the value of the degree of freedom (dof) of the weighting function?', 'coverage': 100}, {'question': ""I'm assuming the nodal dof is the only unknown variable here in the matrix-vector weak form. Is that correct?"", 'coverage': 100}, {'question': 'When assembling the stiffness matrix in the global mapping, not able to follow how the entries of the stiffness matrix were filled. Can this be shown for the first couple of columns?', 'coverage': 100}, {'question': 'Is the stiffness matrix always symmetric and square? I.e., linearly independent for unique solutions of the DOFs?', 'coverage': 100}, {'question': 'What is the matrix vector product used to eliminate the summation over A and B?', 'coverage': 100}, {'question': 'Is there any quick way of converting a product of sums into the vector-matrix product form?', 'coverage': 100}, {'question': 'The diagonal of the Ke (element stiffness matrix) changes for the last two rows. It starts from -1/h1, -1/h2, -1/h3 ........, -1/h(nel-1) + 1/h(nel), 1/h(nel). Why does the diagonal change for the second to the last?', 'coverage': 100}, {'question': 'What is the definition of Dirichlet & Neumann boundary conditions and their relation to H spaces?', 'coverage': 100}, {'question': 'Could we do a simple example or walkthrough (i.e. 1D bar with horizontal translation with three elements) for assemblies?', 'coverage': 100}, {'question': 'What are meant by the degrees of freedom specifically for a weighting function?', 'coverage': 100}, {'question': 'Is the fact that the \\(c1\\) term is 0 and not included in the vector going to lead to issues later on because our vectors are different sizes, or is it that the element stiffness matrix should also have had one row corresponding to which is not mentioned as it gets multiplied by which is zero?', 'coverage': 100}, {'question': 'What aspects of the matrix weak form indicate where the Dirichlet boundaries are and what value the solution takes at this boundary?', 'coverage': 100}]"
210929,"[{'question': '- We did not understand the physical interpretation of the term. If the energy norm is associated with energy, then is \\(a(e,e)\\) like some energy lost here? If yes, then what is causing this loss? We understand that the error would vary element to element, so is it the error in stress or strain energy caused by \\(u^h−u\\)?', 'coverage': 100}, {'question': '- Why was the continuity of the finite element solutions brought up? How would the discontinuity of \\(u, x_h\\) affect the whole solution that we are looking for?', 'coverage': 100}, {'question': '- How does the E in energy norm translate to other situations like heat transfer and what would the equivalence between H1-norm and energy norm be in those cases?', 'coverage': 100}, {'question': 'What is the exact definition of the energy norm, considering that the definition contains a square root over the entire integral, but there is no square root on \\( a(,) \\) even though we use \\( a(,) \\) as an energy norm?', 'coverage': 100}, {'question': 'If space for the finite dimensional solution is not \\( V \\) but \\( S \\), how can we say that the error only exists outside of our finite dimensional solution space?', 'coverage': 100}, {'question': ""In the context of 5.01, I'm confused about the exact solution of the \\( L^2 \\) norm. We get the trial solution from the sum of the product of nodal basis function and degree of freedom, but where do we get the exact solution?"", 'coverage': 100}, {'question': 'FEM can underestimate the strain energy. Does that mean the value of strain/stress derived from FEM can be inaccurate? And does the value of displacement have the same level of inaccuracy?', 'coverage': 100}, {'question': 'Does the consistency condition still apply to the finite dimensional weak form when we are dealing with transient solutions? In particular, if we were to pair the weak form with a time integration scheme such as RK4 for a time derivative (possibly linear advection or diffusion), would we still be admitting the exact solution in our function space?', 'coverage': 100}, {'question': 'What is the explanation for pre-multiplying the factor \\((1/m)^{1/Nsd}\\) as shown in the image below?', 'coverage': 100}, {'question': 'I have a question regarding Corollary 2. We proved it for the particular case of homogeneous Dirichlet boundary condition. However, I got a sense from the lecture that the FE solution, in general, underestimates the energy norm of the problem. If this is true, can you please share the proof?', 'coverage': 100}, {'question': 'If the exact solution is not guaranteed to satisfy the Finite Difference Method, why is it used over FEM in some applications?', 'coverage': 100}, {'question': 'Why is ""xi"" passed as an argument in the function ""basis_function,"" but we can retrieve the value of xi using ""xi_at_node""? Are these different values of ""xi""?', 'coverage': 100}, {'question': 'Could you please elaborate on what is meant by ""use a symbolic manipulator (i.e. Mathematica) to solve the system""?', 'coverage': 100}, {'question': 'When we are defining the norms, why do we need to integrate? And how is the norm (with the integral of) equivalent to the ""traditional"" definition of the norm that we think of)?', 'coverage': 100}, {'question': 'If the finite element solution is the solution which minimizes the energy norm and the exact solution satisfies the finite dimensional weak form, is the solution to the finite dimensional weak form equal to the exact solution?', 'coverage': 100}]"
211117,"[{'question': 'Why should we introduce the effect of structural damping C, and how will the solution be affected since a new term is added to the second order PDE?', 'coverage': 100}, {'question': 'How do we identify gamma and beta in lecture 12.04, and are they given in the problem as constants?', 'coverage': 100}, {'question': 'For the introduction of Rayleigh damping as the physical damping for the structure, how are the constant coefficients \\( a \\) and \\( b \\) proportional to the mass and stiffness of the element derived?', 'coverage': 100}, {'question': 'How would these coefficients affect modes of different frequencies?', 'coverage': 100}, {'question': 'For the clarification, does n+1 -> infinity mean del_t goes to zero? I am confused about whether n+1 -> infinity means a large end time or not.', 'coverage': 100}, {'question': 'What does hyperbolic mean? I understand that the elliptic question considers the steady-state question, while the parabolic question considers the unsteady-state question. Then, what additional feature does the hyperbolic question have?', 'coverage': 100}, {'question': 'Is there a specific reason to select 2beta instead of just beta for the Newmark family, or is this by definition?', 'coverage': 100}, {'question': 'Why did we change the indexing on the degrees of freedom to i and j and tack on the Kronecker delta?', 'coverage': 100}, {'question': 'Was it just to show the structure of the global stiffness matrix?', 'coverage': 100}, {'question': ""In the picture below, why don't we start directly from?"", 'coverage': 100}, {'question': 'Why do we include M?', 'coverage': 100}, {'question': 'Is the damping matrix of the same form as the mass matrix? Hence, just like how the mass matrix assembly can be formed in the same loop as the stiffness matrix, can the damping matrix also be formed in the same loop?', 'coverage': 100}, {'question': 'Similar to the mass matrix, can you form a lumped damping matrix for easier computation? Would it look like the same assembly as the mass matrix?', 'coverage': 100}, {'question': 'For the Rayleigh damping coefficients, where do the terms of natural frequency and damping frequency get included in?', 'coverage': 100}, {'question': 'Are they in the constants a and b?', 'coverage': 100}, {'question': 'If so, do we have to get the matrix forms of the mass matrix and the stiffness matrix first to get the empirical estimation of the constants a and b?', 'coverage': 100}]"
211013,"[{'question': 'We define the matrix for mapping the face from to, will that mapping be different for each face on the Neumann boundary condition? If yes, how will we derive it every time or if no, why is it the same?', 'coverage': 100}, {'question': 'Is there only one specific way of numbering the global degrees of freedom, or can it be done in multiple ways if equations are arranged accordingly?', 'coverage': 100}, {'question': 'In the assembly of K, what do C and D represent?', 'coverage': 100}, {'question': 'Can the det(Js) be equal to 0 and how do we form the equation in this case?', 'coverage': 100}, {'question': 'How do we know which surface of the parent domain is mapping to the physical domain?', 'coverage': 100}, {'question': 'How can we evaluate x(ξ) if the surface is inclined?', 'coverage': 100}, {'question': '1. Spatial dimensionality \\(nsd\\) is considered in the matrix vector form in elasticity problems, but it does not show up in heat conduction problems. What type of problems requires the spatial dimension \\(nsd\\) to show up in the matrix vector equation?', 'coverage': 100}, {'question': '2. Regarding the mesh connectivity for the global conductivity matrix, could you explain what the \\(A_{\\bar{}}\\) and \\(B_{\\bar{}}\\) components mean and how the contribution from elements \\(i\\) and \\(j\\) may be visualized on the \\(A_{\\bar{}}\\) and \\(B_{\\bar{}}\\) components?', 'coverage': 100}, {'question': 'Can this entry of the global K matrix be explained? Does it mean that there is contribution from elements that have both shared nodes and plus the contribution from the elements that they do not share?', 'coverage': 100}, {'question': 'In the image below, do we require different basis functions for mapping in case the surface of interest is not in plane with our physical coordinate system?', 'coverage': 100}, {'question': 'Where did the contribution from \\(\\bar{A}, \\bar{B}\\) come from in the assembly for \\(F_{\\text{internal}}\\)?', 'coverage': 100}, {'question': 'Why is the force \\(F_{ei}^B + F_{ej}^D\\)?', 'coverage': 100}, {'question': 'What is the meaning of \\(\\bar{F}_{\\text{internal}}\\) in terms of heat conduction?', 'coverage': 100}, {'question': 'In 7.15 we redefine fbar = -f, is this only for sign consistency?', 'coverage': 100}, {'question': 'Why bother changing the mark if we could just add a negative sign in front of it?', 'coverage': 100}, {'question': 'Can we have a worked example for 3D stiffness matrix and forcing vector assembly?', 'coverage': 100}, {'question': 'Did we start using nodes and degrees of freedom (dofs) interchangeably?', 'coverage': 100}]"
210922,"[{'question': '1. Can \\( x_{e2} \\) be something other than the average of \\( x_{e1} \\) and \\( x_{e3} \\): \\((x_{e1} + x_{e3}) / 2\\)?', 'coverage': 100}, {'question': '2. Do people actually consider the non-symmetric quadratic equation case as a result of unequal lengths, or is this what everyone always follows?', 'coverage': 100}, {'question': '3. Is there a way to quantify how the accuracy of the solution improves as we pick multiple points in an element?', 'coverage': 100}, {'question': '4. What is the definition of affine mapping?', 'coverage': 100}, {'question': 'What is meant by affine map?', 'coverage': 100}, {'question': 'Will the second node always be considered at the center of the other two nodes?', 'coverage': 100}, {'question': 'Are we just considering higher order functions to increase the accuracy of the solution?', 'coverage': 100}, {'question': 'Mid-side node holds for the parent domain. But does this also hold for the physical domain?', 'coverage': 100}, {'question': 'In an unstructured grid, we can choose any points as our node points. Is the middle node not a real geometric node that we choose?', 'coverage': 100}, {'question': 'Does the ""tangent of the geometric mapping"" refer to the ratio of the xi nodal value (1-(-1)) and the geometric length of the element when discussing the invertibility of the physical and xi mapping?', 'coverage': 100}, {'question': 'What does an affine mapping mean in the context of the invertibility of the physical and xi mapping?', 'coverage': 100}, {'question': 'Why does deal II use a node numbering system that does not number the nodes in order?', 'coverage': 100}, {'question': 'Are there any advantages to using a non-sequential node numbering system in programming within deal II?', 'coverage': 100}, {'question': 'Is the tangent of the geometric map always constant for all Lagrange polynomials in general?', 'coverage': 100}, {'question': 'What is Affine Mapping?', 'coverage': 100}, {'question': 'What is the advantage of numbering the nodes in the way that deal.II executes it?', 'coverage': 100}, {'question': 'Is there an advantage to setting all element lengths to be different from each other? I would assume computing power is a factor or maybe the area of interest is at a specific value of x on the primal field.', 'coverage': 100}, {'question': 'Are there any specific instances where using Quadratic basis functions is imperative, apart from the fact that it increases the accuracy in the final result?', 'coverage': 100}, {'question': 'How do we decide on using quadratic basis functions with fewer elements versus linear basis functions with more elements?', 'coverage': 100}, {'question': 'Why do Lagrange polynomials satisfy the Kronecker delta property?', 'coverage': 100}, {'question': 'In a correction for the formulation, the N^1 basis function turned out to be negative when it was originally found. After working it out from the original statement, it still came out to (1-xi)/2. Could you reformulate N^1, N^2 and N^3 such that their sum is equal to 1?', 'coverage': 100}, {'question': 'What does being complete mean in the context of Lagrange polynomials?', 'coverage': 100}, {'question': 'Is there a best choice of the order of the polynomial basis function?', 'coverage': 100}, {'question': 'How can we choose the order of the polynomial basis function?', 'coverage': 100}]"
211122,"[{'question': ""We are unclear about the significance of the triangular stability region we studied. Usually, we would look at the eigenvalues, and based on whether the real part is positive or negative, we should say the solution is going to be unstable or stable. Then we would look at the square root term; if it is imaginary, we would say it is an oscillatory solution (like we did later with the parabolic inequality), and if it is real, we would look at the overall sign. But here we introduced this triangular stable region, which doesn't make sense to us physically. How did we get the bounds for this region? Any comments on this?"", 'coverage': 100}, {'question': 'Why is the undamped critical frequency a lower bound for the damped critical frequency? According to physics, the damped frequency should be lower than the undamped frequency, right? Because of the damper, the oscillation frequency would be slower and finally stop.', 'coverage': 100}, {'question': 'For the spectral radius condition for high-order modes plot below, how is the trend of spectral radius with respect to achieved based on the correlation between spectral radius, β, γ, and?', 'coverage': 100}, {'question': 'If the stability condition is satisfied but not the condition to damp out higher order modes, what does that mean for the solution? Will it approach infinity but in a stable fashion?', 'coverage': 100}, {'question': 'Is there a difference between an implicit and explicit problem except that there are diagonal matrices for explicit type?', 'coverage': 100}, {'question': 'Why is it called a ""spectral radius""?', 'coverage': 100}, {'question': 'Can you explain more about the implicit methods?', 'coverage': 100}, {'question': 'Why do we choose these values for implicit methods?', 'coverage': 100}, {'question': 'When \\( n \\) becomes very large, the off-diagonal term diverges as \\( n \\). Why is this a problem? Is it about the boundedness?', 'coverage': 100}, {'question': 'What is the \\( L2 \\) norm of the difference of \\( u_{\\text{steady}} \\) and \\( u_{\\text{trans}} \\) showing us? Does it indicate the relative size in how much the solution changes as it evolves in time? Does it make sense that the \\( L2 \\) norm gets smaller as you go further in time, approaching zero as the solution reaches a steady-state?', 'coverage': 100}, {'question': 'Is the horizontal axis correct in the provided context? Why do we have a factor of \\( 2\\pi \\)?', 'coverage': 100}, {'question': 'In lecture 12.6, you mentioned that the central difference method can only have a truly explicit solution if M and C are diagonal. Is this only limited to strictly diagonal matrices or could they be tridiagonal and still have a solution?', 'coverage': 100}, {'question': 'What physical cases would represent having diagonal mass and damping matrices?', 'coverage': 100}, {'question': 'How is the equation for the critical omega developed? Is it estimated from the properties of the methods?', 'coverage': 100}, {'question': 'How should we think of the spectral radius? In the previous case, we had amplification as the ratio between successive displacements, how would we think of it here?', 'coverage': 100}, {'question': 'How are the implicit and explicit analysis types defined in this case?', 'coverage': 100}]"
210901,"[{'question': ""In lecture 1.05, for the analytical solution of the strong form, you mentioned that we don't actually integrate the strong form all the way up to L to maintain a general solution at any point for the 1D linear elliptic problem, so why do we use the upper limit with the closed interval [0,L] while we define the strong form with (0,L)?"", 'coverage': 100}, {'question': 'How can the weak form be more useful than the strong form, especially for the 1D linear elliptic case covered in the lecture?', 'coverage': 100}, {'question': 'What is ""the pde to hold pointwise in (0,L)"" exactly meaning?', 'coverage': 100}, {'question': 'Can the professor please again explain the sentence ""The solution u(x) is constant up to a rigid body motion""? I understand that the displacement field that is constant with respect to position implies a rigid body motion, but what exactly is implied by the phrase ""non-unique up to a rigid body motion""?', 'coverage': 100}, {'question': 'In 1.03, why will the \\(u(x) + \\bar{u}\\) be a non-unique solution up to a rigid body motion?', 'coverage': 100}, {'question': 'In 1.05, how did \\(E u_{,x} | y\\) transform into \\(\\int E \\frac{du}{dy} \\frac{du}{dy} dy\\)? And why do we integrate the equation again from 0 to z?', 'coverage': 100}, {'question': 'The weight function is abstract to me. In the lecture, we use that to get the weak form. What about the boundary conditions?', 'coverage': 100}, {'question': 'When deriving the analytic solution of the Strong Form, what is the meaning of \\(\\sigma (y) - \\sigma (0) = -\\int_{0}^{y} f \\, dx\\)?', 'coverage': 100}, {'question': 'In the expression \\(\\sigma (y) = E u_{,x}|_y\\), why can this term be further written as \\(E \\frac{du}{dy}\\)?', 'coverage': 100}, {'question': 'I am confused about the situation where two Neumann boundary conditions are imposed, could you please provide an actual example with actual calculation procedures and numerical values, which is much more concrete for understanding?', 'coverage': 100}, {'question': 'At one point, there was a statement that ""Boundary conditions either on u(x) or on ux at boundary points"". I am wondering what is BCs on u(x)?', 'coverage': 100}, {'question': 'At one point, it was stated that ""we require the strong condition of the smoothness on u(x) because the strong form has two spatial derivatives"". What does ""two spatial derivatives"" mean in this context? In addition, it was said that by substituting Eux into the d(sigma), u needs to allow us to take 2 derivatives. I only can see 1 derivative.', 'coverage': 100}, {'question': 'I am wondering how to go from one step to the next step in the highlighted red part. In addition, what does z stand for in this case? I think it should have some sort of relation with y?', 'coverage': 100}, {'question': 'I just read the sections related to the lecture in the textbook, and I noticed that in the textbook, it is emphasized that u should be square-integrable, or. But it seems that this is not mentioned in the lecture. Is this an important assumption? Why do we need it here?', 'coverage': 100}, {'question': ""Can you please elaborate more on why we can't have pure Neumann boundary conditions for the steady-state 1D elasticity problem? More specifically, what is the significance of \\(\\bar{u}\\)?"", 'coverage': 100}, {'question': 'Is there any physical meaning of the weak form of PDEs? Or is it just a mathematical tool?', 'coverage': 100}, {'question': 'What is the physical significance of the non-applicability of Neumann boundary conditions on both ends in the linear elliptic PDE problem, even though it is understood mathematically?', 'coverage': 100}, {'question': 'Can you explain the assertion ""solution is non-unique up to a rigid body motion"" that Prof. Garikipati mentions in lecture 1.03?', 'coverage': 100}, {'question': 'Is the reason we are unable to integrate from 0 to L in lecture 1.05 because we have a boundary condition on L, unlike in lectures 1.06/7? What exactly do the ""dummy"" variables y and z physically represent in this context?', 'coverage': 100}, {'question': ""In what real-life scenarios do we encounter 'E' (varying over the length) having a significant effect on physical phenomena, particularly in elastic problems?"", 'coverage': 100}]"
211115,"[{'question': 'How do we know that for the midpoint rule, the time average solution looks like what was plotted, i.e., straight lines between t1, t2, and so on? Can they be, say, sinusoidal if there are oscillations? The time average of sinusoidal would not be straight lines like this, right?', 'coverage': 100}, {'question': 'How would the modal equations be defined if we have as an initial condition the first derivative of d given?', 'coverage': 100}, {'question': 'Why should we introduce Δ𝑡𝜏(𝑡𝑛) in the discussion of the consistency condition? What is the meaning of 𝜏?', 'coverage': 100}, {'question': 'For the discrete time equation in the first line, does it come from directly discretizing the time-exact SDOF modal equation and why do we not use the SDOF modal equation of time-discrete ODE derived in 11.17?', 'coverage': 100}, {'question': 'How is the right-hand side derived below with the time exact mode plugged in?', 'coverage': 100}, {'question': 'How did we deduce the value of k according to the value of alpha in Lecture 11.18?', 'coverage': 100}, {'question': 'How does the accuracy of the solution depend according to the stability? We know that the mid-point rule is most accurate, but is the accuracy equal for other cases irrespective of the type of stability?', 'coverage': 100}, {'question': 'It was said that the high order mode equals high eigenvalue. But for fixed K and M, do we just choose the maximum value among eigenvalues?', 'coverage': 100}, {'question': 'What is the role that volume \\(dv\\) plays in determining the order of the M and K matrices?', 'coverage': 100}, {'question': 'How can we explain that spatial discretization has an effect on our time discretization using physical interpretation? Does it have any implication in crack growth studies where the time step has to be very small since the mesh around the crack tip is highly refined?', 'coverage': 100}, {'question': 'Why is the order of \\(N,_{x_i} \\approx 1/h\\)? Is that the approximation of the mapping from \\(x \\to \\xi\\)?', 'coverage': 100}, {'question': ""In the picture below, I don't understand why we are using corresponding to the spatial discretization, but the equation is still being time-exact."", 'coverage': 100}, {'question': ""What's the use of \\(O(\\lambda^h)\\)? Does it reflect the speed of convergence in terms of the system?"", 'coverage': 100}, {'question': ""In the lecture videos, we've used eigenvalue decomposition for constructing modal equations. Could we use eigenvalue decomposition in our computation as well to speed up the programming?"", 'coverage': 100}, {'question': 'If alpha=1 gives us the amplification factor most similar to time exact, what is the benefit of using other factors for alpha?', 'coverage': 100}, {'question': 'Can we have a formal definition for stability?', 'coverage': 100}]"
211101,"[{'question': 'We have a question on the number of spatial dimensions. Physically, 3 spatial dimensions make sense and I think we are probably going to study that. But, we were wondering what would be some examples of systems with spatial dimensions > 3 where finite element method is used and what would their physical significance be?', 'coverage': 100}, {'question': 'We also have a question on traction integral. Professors had emphasized that there is no sum implied to i for the traction (w(i), t(i)). But what is the difference by exchanging the position of sum of i? Mathematically, is there the difference between ∑𝑖∑𝑒∫∂Ω [𝑤^ℎ(𝑖)𝑡(𝑖)]𝑑𝑆, ∑𝑒∑𝑖∫∂Ω [𝑤^ℎ(𝑖)𝑡(𝑖)]𝑑𝑆, and ∑𝑒∫∂Ω∑𝑖 [𝑤^ℎ(𝑖)𝑡(𝑖)]𝑑𝑆?', 'coverage': 100}, {'question': 'For the Jacobian of the surface mapping \\( J_s \\) in the traction integral term, how do we exactly construct this 2 by 2 matrix?', 'coverage': 100}, {'question': 'Does isoparametric mapping still work in this case with partial surfaces (A belongs to AN)?', 'coverage': 100}, {'question': 'Why does the minor symmetry of the elasticity tensor allow us not to worry about the symmetry of the displacement gradient?', 'coverage': 100}, {'question': 'Does \\( u_{k,l} \\) also need to equal \\( u_{l,k} \\)?', 'coverage': 100}, {'question': 'The number of spatial dimensions for 3D dimensional elasticity is 3. Is there any other problem that has a spatial dimension higher than 3?', 'coverage': 100}, {'question': 'In the image, the professor mentions something about the number of degrees of freedom. Does that mean for a 3D cubic element, we have 8 x 3 degrees of freedom?', 'coverage': 100}, {'question': '- Why does the 1/2 disappear when we are summing the same thing twice?', 'coverage': 100}, {'question': 'How will the weak form change if the stiffness does not change by elements due to homogeneity, even though an ""e"" subscript is added for the stiffness and forcing tensors to account for it being inside an element integral?', 'coverage': 100}, {'question': 'What would a vector basis function for electromagnetism look like, and why does it need to be vectorized for the case of electromagnetism?', 'coverage': 100}, {'question': 'What strategies do finite element method (FEM) engineers use to reduce computational costs, considering that the 3D global system of equations is large (with 24 degrees of freedom per tri-linear element) and becomes even larger with higher order basis functions needed for higher order partial differential equations (PDEs)?', 'coverage': 100}, {'question': ""We're a little confused on how the term can be written as?"", 'coverage': 100}]"
