Directory,Questions
230327,"[{'question': ""Why is \\(\\underline{\\text{det}(A)}\\) when it is \\(\\text{det}(A)\\)? Wouldn't it be a scalar?"", 'coverage': 100}, {'question': 'How can we get the K (order of accuracy)?', 'coverage': 100}, {'question': 'In module 11, why is \\(K=2\\) for the midpoint rule and \\(K=1\\) for forward and backward rules?', 'coverage': 100}, {'question': 'Why do we introduce the damping term? Is it an artificial term added for numerical stability (like artificial viscosity) or is it for capturing physics of the problem?', 'coverage': 100}, {'question': 'How does damping increase the critical frequency? Generally damping tends to decrease the natural frequency. How does it work with critical frequency?', 'coverage': 100}, {'question': ""For linearly independent and dependent eigenvectors, wouldn't the diagonal terms of a matrix become unbounded as n approaches infinity for eigenvalues greater than 1?"", 'coverage': 100}, {'question': 'Why would we suddenly include a damping term into the elastodynamic equation?', 'coverage': 100}, {'question': 'Would it ever be helpful to use a damping term in other situations besides elastodynamics?', 'coverage': 100}, {'question': 'How is the amplification matrix A defined?', 'coverage': 100}, {'question': 'What are the components of the matrix?', 'coverage': 100}, {'question': 'How does the finite dimensional weak form give rise to the C matrix?', 'coverage': 100}, {'question': 'Can you give us a basic run down of pros and cons of deal.ii vs FEniCS?', 'coverage': 100}, {'question': ""Why didn't we do the whole class in FEniCS?"", 'coverage': 100}, {'question': 'How can we use the FE formulation for 3D linear elastodynamics to solve buckling problems where we may not be interested in stress or strain of a structure that experiences instability?', 'coverage': 100}, {'question': ""How would building a model using a combination of 3D, 2D, and 1D elements work for elastodynamics? So far, we've dealt with problems where all elements are of the same dimension. However, there could be scenarios where a bolted joint between two materials involves both a 1D and 2D/3D elements. How does the procedure for generating a K, C, and M matrix change from the case with purely 3D elements?"", 'coverage': 100}, {'question': 'How does the analysis of elastodynamics change if there is both liquid and solid medium in the problem? Can we use the same equation and FEM for the entire system? Also, can we write a modal decomposition equation for such a system to analyze the amplification factors and other things?', 'coverage': 100}, {'question': 'In the spectral radius versus graph at around 12:25 in lecture 12.08, should the equation on the graph be a certain expression rather than another?', 'coverage': 100}, {'question': 'Is the spectral radius defined as a number that is greater than 1 for non-unique eigenvectors, or essentially where does its definition come from?', 'coverage': 100}]"
230220,"[{'question': 'There are no stand-alone questions in the provided text.', 'coverage': 100}, {'question': 'What are all the differences between a thickened 2D element and a 3D element?', 'coverage': 100}, {'question': 'Can we capture shocks arising from hyperbolic PDEs using C^0 continuous finite elements, or do we need discontinuous functions (DG finite elements) for that?', 'coverage': 100}, {'question': 'How is Js different from J? Is it just a different notation for the boundary?', 'coverage': 100}, {'question': 'Is there ever a situation in 2D/3D where over the entire problem you would mix subdomains so some are quadrilateral and some are triangular?', 'coverage': 100}, {'question': 'For both the quadrilateral and triangular elements, can the basis function be written as a 2-variable function N(xi1, xi2) with the relation xi3 = 1-xi1-xi2?', 'coverage': 100}, {'question': 'Since the number of elements in the bilinear polynomials is 4, does it mean that bilinear is only used in quadrilateral and linear ones are used in triangular?', 'coverage': 100}, {'question': 'Why is the determinant of the Jacobian matrix (det(J)) of a linear triangle just the area of the triangle?', 'coverage': 100}, {'question': 'What is meant by linear triangles? I assumed it was based on triangular elements with linear basis functions, is that on the right track?', 'coverage': 100}, {'question': 'For these higher dimension problems, it becomes impossible to make the global matrix diagonal. Does bandwidth still matter then for sparse matrices?', 'coverage': 100}, {'question': 'For the Jacobian inverse in the lectures, does it match with our definition of \\( J^{-1} \\)?', 'coverage': 100}, {'question': 'How might we go about doing quadrature when using spline elements?', 'coverage': 100}, {'question': 'Do the standard element divisions make sense, or might we get more efficiency out of using more quadrature points to cover more of the domain?', 'coverage': 100}]"
230322,"[{'question': 'Why do we need to stabilize our finite element scheme for convection-dominated problems?', 'coverage': 100}, {'question': 'If we chose a method other than d-method or v-method, or if we are dealing with different physics, is the timestep-mesh size relation subject to change?', 'coverage': 100}, {'question': 'Does the equation come from the time-exact nonhomogeneous modal equation?', 'coverage': 100}, {'question': 'Previously, we only discussed the homogenous case.', 'coverage': 100}, {'question': ""Can you elaborate on what it means when it's stated that a higher order mode is just a mode that has a high value?"", 'coverage': 100}, {'question': 'What distinguishes a ""higher order mode"" that gets dissipated out from the other modes?', 'coverage': 100}, {'question': ""Why is the midpoint rule the only one in the Euler family to have an accuracy that's not of order 1?"", 'coverage': 100}, {'question': 'Are we going to include the damping term?', 'coverage': 100}, {'question': 'Where does the double time derivative come from for u? Is it purely the definition of hyperbolic equations?', 'coverage': 100}, {'question': 'Based on the summary table at the end of lectures 11, it seems like forward Euler is a loser. Why would we ever want to use it? What do commercial codes use?', 'coverage': 100}, {'question': 'How does one account for highly oscillating regions in a space-discretized solution in future timesteps if the maximum number of modes captured depends on the mesh size? Does the convergence criteria help in determining that?', 'coverage': 100}, {'question': ""Could you summarize what types of problems are typically solved using each member of the Euler family? Essentially, I'd like to add another column to the table that has an example of a problem that's best solved using backward Euler, midpoint rule, and forward Euler."", 'coverage': 100}, {'question': 'Is the oscillation caused by the mid-point rule (alpha=1/2) in high-order modes bad for the simulation?', 'coverage': 100}, {'question': 'Do the advantages, such as accuracy, of the mid-point rule outweigh the drawback of oscillation in high-order modes?', 'coverage': 100}, {'question': 'Since every sub-matrix in our linearized elasticity mass matrix is diagonal, can we combine terms and make a lumped mass matrix as we did in the case of time-dependent heat and mass transfer?', 'coverage': 100}, {'question': 'Is there a similar benefit to the number of computations necessary to generate our solution?', 'coverage': 100}]"
230313,"[{'question': 'What are the definitions for fully discrete and semi discrete FE formulation?', 'coverage': 100}, {'question': 'What is the purpose or benefit of lumped mass matrices?', 'coverage': 100}, {'question': 'What is the use of mass lumping besides having an advantage of faster operations due to a diagonal matrix?', 'coverage': 100}, {'question': 'Does mass lumping improve or decrease accuracy?', 'coverage': 100}, {'question': 'Where is mass lumping generally used?', 'coverage': 100}, {'question': 'Is it correct to say that a similar intuition can be applied to the mass matrix in the sense of kinetic energy?', 'coverage': 100}, {'question': 'What is the process for making a full discretization by discretizing time?', 'coverage': 100}, {'question': 'What applications or fields require this additional step?', 'coverage': 100}, {'question': 'Will the choice of quadrature rule affect the semi discrete formulations in any other way other than the regular steady state method?', 'coverage': 100}, {'question': 'Can semi discrete formulations be used to solve highly non-linear problems?', 'coverage': 100}, {'question': 'What is the reason for introducing a lumped element matrix when we define a global-level matrix?', 'coverage': 100}, {'question': 'Can we go over the sparsity/bandedness in dimensions higher than 1D?', 'coverage': 100}, {'question': ""In this lecture, we called the mass matrix M the matrix that multiplied the term, which was later referred to as v_n (almost like a velocity). However, in dynamics you often see. Wouldn't it make more sense to call it the damping matrix, C, instead of the mass matrix, M? In other words, why do we call it the M matrix and not the C matrix?"", 'coverage': 100}, {'question': 'What is the purpose of expressing the mass matrix in a block diagonal form (lumped elemental mass matrix)?', 'coverage': 100}, {'question': 'In the steady state problem, the governing equation is -Ji,i=f, but in this case it is =-Ji,i+f. Why does the sign of the source change?', 'coverage': 100}, {'question': 'For a time-dependent problem, do we need to know the conditions at the Dirichlet boundary for the whole problem duration? Would there be a transition to a Neumann assumption if we didn’t know?', 'coverage': 100}, {'question': 'Can the K matrix be time-dependent?', 'coverage': 100}]"
230215,"[{'question': 'Why is Gauss quadrature rule not optimal for tets?', 'coverage': 100}, {'question': 'In general, Tria elements are known to be stiffer than quad elements. What is the reason for this?', 'coverage': 100}, {'question': 'What is ND?', 'coverage': 100}, {'question': 'If there are only 8 elements as the example in 7.16, is ND just 1 or is it the number of intersection points?', 'coverage': 100}, {'question': ""Why is Gaussian quadrature the optimal quadrature for the elements we're dealing with?"", 'coverage': 100}, {'question': 'Is the nomenclature that refers to B and D as local degrees of freedom and A and C as global degrees of freedom in the matrix assembly intentional, or is it a mistake? I am confused about which is considered global and which is considered local.', 'coverage': 100}, {'question': 'Why is it said that the correction to the boardwork in lecture 7.17 is fundamentally incorrect to use for the heat conduction problem? Why do we not care about the number of dimensions for heat conduction?', 'coverage': 100}, {'question': 'Is triangular meshing independent of how local nodes are numbered?', 'coverage': 100}, {'question': 'If they were numbered differently, would the numerical result be different?', 'coverage': 100}, {'question': 'It seems like the right corner node has more weight.', 'coverage': 100}, {'question': 'What is the analogous equation describing the solution error when using 3D elements?', 'coverage': 100}, {'question': 'When modeling a 1D problem, are there any differences in error (and runtime) between using 1D elements vs. 3D elements?', 'coverage': 100}, {'question': 'I do not understand how to visualize geometrically the off-diagonal elements in \\( K_{\\text{bar}} \\) as we did for the diagonal elements. How are the off-diagonal elements calculated?', 'coverage': 100}, {'question': 'In the first video when constructing the matrix, how is he determining the superscripts on the terms?', 'coverage': 100}, {'question': 'Such as the 77 for i = 1, 88 for i = 2, 55 for i = 3, etc...', 'coverage': 100}, {'question': 'Since we add an additional basis function, do we significantly increase the computational complexity of our problem? In other words, does this increase the number of math operations we need compared to a quadrilateral/hexahedral mesh of the same domain?', 'coverage': 100}, {'question': 'In lecture 7.17 - we introduced diagonal and off-diagonal terms in the global K matrix. For a hexahedral mesh like we drew in lecture 17.6, we saw that in general 8 elements could contribute to a given diagonal term in the global K matrix. For a similar mesh, would we expect 4 elements to contribute to each off-diagonal term?', 'coverage': 100}, {'question': ""When you were solving for the basis function for the 5th node (N5) in the tri-quadrilateral element, I don't understand how B, C, and D are calculated in this equation: NA(e1,e2,e3) = NB(e1)NC(e2)ND(e3) where B=2, C=1, and D=1 for the 5th node (A=5)."", 'coverage': 100}]"
230201,"[{'question': 'In Sobolev spaces, is (tilde) something that we have to solve for, or is it usually given information/measured (i.e. with instrumentation)?', 'coverage': 100}, {'question': ""Because it is nodally exact, don't we need some information regarding the values of the nodes in the exact solution?"", 'coverage': 100}, {'question': 'How can we evaluate the element size (he) in higher dimensions, like tetrahedral or hexahedral?', 'coverage': 100}, {'question': 'Does element type affect the convergence?', 'coverage': 100}, {'question': 'What are these norms (e.g., the m-, n-, and r-norms)?', 'coverage': 100}, {'question': 'Why would we ever care about n > 0?', 'coverage': 100}, {'question': 'Are the Sobolev spaces and their error estimates just a means to prove and obtain the Finite Element Error Estimate?', 'coverage': 100}, {'question': 'Defining an ""interpolate"" as seems counterintuitive to me. Isn\'t a function that linearly interpolates between nodes more like finite differences?', 'coverage': 100}, {'question': 'Is the interpolation error estimate in Sobolev space valid for all smooth functions \\( u \\)? Is there any proof for that?', 'coverage': 100}, {'question': 'What’s \\( S^h \\) for two-sided Neumann boundary conditions?', 'coverage': 100}, {'question': 'Does \\( r \\) norm of \\( u \\) mean the norm of the projection of \\( u \\) in \\( H^r \\) space?', 'coverage': 100}, {'question': 'Is the energy norm of \\( e \\) or \\( r \\)? There are some inconsistencies in the lectures.', 'coverage': 100}, {'question': 'We always assume R is very large, right? When is r considered big enough? Does it ever make sense to normalize the error by the magnitude of the solution (i.e., ||uh - u||/|uh|) to get the percentage error? How do we calculate ||u||R? Do we plug R into the calculation of norms or is there another way to get the regularity?', 'coverage': 100}, {'question': 'In what situation do we use the best approximation property?', 'coverage': 100}, {'question': 'For the best approximation property, the conclusion was that FEM picks the solution that minimizes the energy norm given \\( S_h \\). For the specific case of 1D elasticity, the energy norm can be interpreted as the strain energy. In this specific case, what does minimizing the energy norm mean, and does it have a physical, intuitive meaning?', 'coverage': 100}, {'question': 'Are there cases where the ""Pythagorean theorem"" holds even without homogeneous Dirichlet BCs?', 'coverage': 100}, {'question': 'Does the Pythagorean theorem hold if we have a Dirichlet boundary condition and a Neumann boundary condition?', 'coverage': 100}]"
230213,"[{'question': 'For mappings that are not linear, how is the det (J) term computed?', 'coverage': 100}, {'question': 'When examining the matrix-vector weak form, we are defining our boundary condition on elements whose element edges/faces are on the boundary of the domain. Does this mean that we are going to be making a ring/shell of elements for our boundary condition?', 'coverage': 100}, {'question': 'How do we ensure that every element is a hexahedron (i.e. elements not on the boundary, ""central"" element for example) when we are creating the mesh?', 'coverage': 100}, {'question': 'Do we start by meshing the boundary and working inwards, or is the mesh generated from one side of our domain to the other?', 'coverage': 100}, {'question': 'What determines element sizing then?', 'coverage': 100}, {'question': 'Why is the forcing function changed to negative when moved to the time-dependent case?', 'coverage': 100}, {'question': 'Are there other forms of mesh connectivity that are important in FEM, like node-to-element or edge-to-element mapping?', 'coverage': 100}, {'question': ""I'm don’t quite understand how we determine B, C, D for the tensor product formula in 3D."", 'coverage': 100}, {'question': 'Would it be useful to find the Jacobian in a 2D case?', 'coverage': 100}, {'question': 'Where does the most common mesh error in commercial FEM software, specifically a negative Jacobian, come from mathematically based on the equations that we have derived?', 'coverage': 100}, {'question': 'How could we get the position of the local dof A nodes (the A1, A2, A3, A4 nodes)? Are they decided by the surface of influx, and do they follow the rule of numbering for cube nodes, like 1234 for the bottom surface and 1458 for the left surface?', 'coverage': 100}, {'question': 'For matrices with millions of degrees of freedom, the size of the global connectivity matrices or local dof arrays would be very large. How are these issues handled in a computer?', 'coverage': 100}, {'question': 'How would discretizing a domain into solids other than hexahedral elements, such as tetrahedral or pyramidal elements, affect our solution or stiffness matrix?', 'coverage': 100}, {'question': ""How would having fewer nodes in an element, such as a tetrahedron, and having an internal node that's shared by fewer neighboring elements affect our solution?"", 'coverage': 100}, {'question': 'Can you explain more about the mapping of volume?', 'coverage': 100}, {'question': 'In fluid problems, we sometimes select a moving domain to follow flowing particles instead of a deformed body. In this case, is the Jacobian relating our physical domain to our basis domain dependent on time? Or how do we handle this?', 'coverage': 100}, {'question': ""It was mentioned in the lectures on the Jacobian that the mapping used from x to xi is c-infinite. How do we know that this property is always true? Are there any shapes/mappings where this doesn't hold?"", 'coverage': 100}]"
230320,"[{'question': 'How can we determine that \\(2 \\ge \\left(1-2\\alpha\\right)\\Delta t\\lambda^h\\) holds true for \\(\\alpha \\ge \\frac{1}{2}\\) for unconditional stability when that inequality is also dependent on \\(\\Delta t\\) and \\(\\lambda^h\\)?', 'coverage': 100}, {'question': 'Does \\(\\lambda^h\\) differ from element to element, or is it constant for the whole mesh? I am assuming constant because it describes the time discretization, not the domain discretization, but would like to clarify.', 'coverage': 100}, {'question': 'If we take huge timesteps for an unconditionally stable method and a ""sufficiently"" fine discretization, can we say that the error in the final solution is polluted majorly by temporal discretization?', 'coverage': 100}, {'question': 'What about for the time exact case?', 'coverage': 100}, {'question': 'Can you explain why the shape function derivatives are of order 1/h?', 'coverage': 100}, {'question': ""Shouldn't the solution changing signs be a relatively rare case and most of the time just considering 0<=A<=1 will be more accurate?"", 'coverage': 100}, {'question': ""Or it doesn't matter much so we use the general |A|<=1 to include all conditions?"", 'coverage': 100}, {'question': 'Since the spatial discretization and temporal discretization are inherently linked for the case \\(0 \\leq \\alpha < \\frac{1}{2}\\), how do we go about defining the mesh?', 'coverage': 100}, {'question': 'Do we define one and it determines a bound for the other?', 'coverage': 100}, {'question': 'Is it generally better to be unconditionally stable or conditionally stable? It seems like most of the time using the conditionally stable method where the time step is restricted by the degree of spatial discretization makes more sense.', 'coverage': 100}, {'question': 'What is the runtime dependence on the degree of time and spatial discretization? Modal decomposition and the eigenvalue/vector analysis seems more computationally complex than when we were working with the steady state problems, and so we wanted to ask if there was a proportionality relation between runtime and element size and time step.', 'coverage': 100}, {'question': 'Is \\( h \\) just a general spatial discretization parameter?', 'coverage': 100}, {'question': 'How do the modal equations change when we increase the degree of freedom in a single degree of freedom system?', 'coverage': 100}]"
230130,"[{'question': 'What basis do we use for \\( u \\) to ensure both \\( C^0 \\) and \\( C^1 \\) continuity, given the problem \\( u_{xxxx} = f \\)?', 'coverage': 100}, {'question': 'What are the significance of Hilbert and Sobolev spaces? Do they only help in defining norms, or are there other uses in Finite Elements, such as while deciding which basis functions to use?', 'coverage': 100}, {'question': 'What is the basic difference between the Finite-Difference Method and the Finite Element Method? How do you choose which one to use?', 'coverage': 100}, {'question': 'What is the meaning of bilinear in \\( w \\) and \\( u \\)?', 'coverage': 100}, {'question': 'We only consider a limited stencil for derivative terms when writing a finite difference form of a governing equation. Is this the reason why the exact solution does not satisfy the form in the case of FDM?', 'coverage': 100}, {'question': 'Does the discontinuity of the derivative of Lagrange basis functions affect the accuracy of the solution when solving for higher derivative problems?', 'coverage': 100}, {'question': 'What is the difference between convergence and consistency of a solution in the Finite Element Method?', 'coverage': 100}, {'question': 'Is the finite element solution \\( u_h \\) so defined ""close"" to the exact solution \\( u \\)? Does \\( u_h \\) ""converge"" towards \\( u \\) in some useful sense?', 'coverage': 100}, {'question': 'When expressing the finite/infinite dimensional weak form in abstract notation, can you explain why, by definition,?', 'coverage': 100}, {'question': 'So the equivalence of norm just mean the energy norm and H1 norm have the same trend and the energy norm is used as a simplified version of H1 norm?', 'coverage': 100}, {'question': 'Does the energy norm*a constant = H1 norm, or is the relationship between the energy norm and H1 just bounded?', 'coverage': 100}, {'question': '- Since the error \\( e = u_h - u \\) is orthogonal to \\( V_h \\) (and therefore \\( w_h \\)), is this why the isoparametric mapping need not be true? Can we choose any definition of \\( w_h \\)?', 'coverage': 100}, {'question': '- Out of curiosity, I used the same logic from the derivation and took (A) infinite dimensional weak form - consistency condition and (B) infinite dimensional weak form - finite dimensional weak form. The result from (A) seems to back up the conclusion from my first question. Does anyone know what the result from (B) means? (Also my math may not be correct.)', 'coverage': 100}, {'question': '- Do scenarios ever arise in finite element (FE) analysis where basis functions that are \\( C^n(\\Omega) \\) with \\( n > 0 \\) are ever useful?', 'coverage': 100}, {'question': 'What is meant by measure?', 'coverage': 100}, {'question': 'Spatial dimensions are dimensions in ℝ, right?', 'coverage': 100}, {'question': 'With regards to our finite dimensional solution, are we saying that the error due to the weighting function essentially balances out along our domain?', 'coverage': 100}, {'question': 'How does orthogonality relate to \\( w_h \\) and \\( e \\) in the context of functions (assuming orthogonality in the same context as vectors)?', 'coverage': 100}, {'question': 'Why do we care that the error is orthogonal to Vh?', 'coverage': 100}, {'question': 'In the first video, uh,x is not C0 on omega. Does this mean that uh is not C1 on omega?', 'coverage': 100}, {'question': 'What is the physical meaning of energy norm?', 'coverage': 100}, {'question': 'How does the strain energy term change in the same manner as the Hilbert norm if the elastic constant E is included in the energy norm?', 'coverage': 100}, {'question': ""Aren't there some nonlinear materials for which E changes in response to stretch, or the equivalent for other problems?"", 'coverage': 100}]"
230111,"[{'question': 'How do we know what basis functions to select?', 'coverage': 100}, {'question': 'Are there certain PDE properties that clue us in to what basis functions will adequately represent our problem?', 'coverage': 100}, {'question': 'Is it possible to choose nonlinear basis functions?', 'coverage': 100}, {'question': 'What are some challenges to more complicated selections?', 'coverage': 100}, {'question': 'What does the 1 in H1even indicate? Can we have Hnspaces where n is just some real integer?', 'coverage': 100}, {'question': 'What do the nodal degrees of freedom deA and ceA really mean in the equations for uehh(x) and weh(x)?', 'coverage': 100}, {'question': '1. As f(x) is infinite, do we have any effect on the obtained approximate solution of PDE?', 'coverage': 100}, {'question': '2. The basis function for global node e+1 is not equal to zero in elements Ωe and Ω(e+1). What does it mean, and how do we get this?', 'coverage': 100}, {'question': '3. Why do we care if functions are square integrable, instead of simply integrable?', 'coverage': 100}, {'question': 'What determines the size of each sub-domain?', 'coverage': 100}, {'question': 'Does N1 and N2 always decrease and increase respectively?', 'coverage': 100}, {'question': 'Is there a way to quantify the uncertainty of using the basis functions to describe the global function for this 1D problem?', 'coverage': 100}, {'question': ""Is the physical representation of the bi-unit domain referring specifically to using neighboring elements to determine the global basic functions? How is the global basis function mathematically defined from the local functions (is that the summation of the local basis function over all elements 'e' is referring to)?"", 'coverage': 100}, {'question': 'About mapping, when it comes to quadratic or higher polynomials problems, does the value or number of ξ in the bi-unit domain affect the final approximate result? Could the value or number of ξ be picked arbitrarily?', 'coverage': 100}, {'question': 'What does degree of freedom mean in the context of finite elements?', 'coverage': 100}, {'question': 'Can individual subdomains be mappings of different bi-unit domains?', 'coverage': 100}, {'question': 'As a consequence, can the global basis function for each node be different?', 'coverage': 100}, {'question': 'Are the nodes that are defined for partitioning into subdomains equally spaced?', 'coverage': 100}, {'question': '1. How will the finite dimensional finite element formulation using basis functions change if there are extra constraints in the interior of the domain, like a force or displacement somewhere between x in (0, L)?', 'coverage': 100}, {'question': '2. Is the bi-unit domain just a way to represent the physical domain of an element in a unitless domain from (-1, 1)?', 'coverage': 100}, {'question': ""3. Does the value of using the bi-unit domain lie in its ability to generalize the math, or is there something else I'm missing?"", 'coverage': 100}, {'question': '4. Is it possible for a given global node \\(x_{e+1}\\) to have two different local basis functions associated with \\(\\Omega_e\\) on the left and \\(\\Omega_{e+1}\\) on the right, such as one local basis function being linear and the other being quadratic?', 'coverage': 100}, {'question': '5. What could be implied if the elements on either side of the node were of different lengths?', 'coverage': 100}, {'question': '6. How can the whole length be divided into sections and the local numbers set properly, especially when there are boundary conditions at both ends? How do we choose the proper section to meet all the conditions?', 'coverage': 100}, {'question': 'What are the benefits of transforming to the domain?', 'coverage': 100}, {'question': 'What is the weighting function altering/weighting?', 'coverage': 100}, {'question': 'Why do we make our basis functions 2 linear polynomials and is it purely for the behavior?', 'coverage': 100}, {'question': 'What is the advantage of making our basis functions 2 linear polynomials?', 'coverage': 100}]"
